119,78,90,151,82,148
46,102,68,151,82,328
122,79,87,151,83,152
47,101,68,151,83,332
126,80,85,151,83,157
49,100,68,151,83,337
129,81,84,151,83,161
50,99,69,151,83,341
133,81,83,152,83,165
52,99,68,152,83,345
136,83,81,152,84,169
52,97,69,152,84,349
140,84,80,152,84,173
54,96,69,152,84,353
142,84,80,152,84,176
54,96,69,152,84,356
55,95,111,152,84,0
146,85,101,152,84,180
56,94,111,152,85,3
148,86,101,152,85,183
57,93,110,152,85,6
151,87,102,152,85,186
57,92,110,152,85,8
153,88,102,152,85,188
58,91,110,152,86,11
156,89,102,152,86,191
58,91,110,152,86,13
157,89,102,152,86,193
59,90,110,151,86,15
159,90,102,151,86,195
59,89,110,151,87,17
161,91,102,151,87,197
59,89,110,151,87,19
163,91,102,151,87,199
60,88,110,151,87,21
164,92,102,151,87,201
60,88,110,151,88,22
166,92,101,151,88,202
61,87,110,151,88,24
167,93,101,151,88,204
61,87,110,151,88,25
168,93,101,151,88,205
61,87,109,150,89,26
169,93,101,150,89,206
61,86,109,150,89,28
171,94,101,150,89,208
61,86,109,150,90,29
172,94,100,150,90,209
62,85,109,150,90,30
173,95,100,150,90,210
62,85,109,150,90,31
174,95,100,150,90,211
62,85,109,149,91,32
175,95,100,149,91,212
63,85,109,149,91,33
175,95,99,149,91,213
62,84,109,149,92,33
176,96,99,149,92,213
63,84,108,148,92,34
176,96,99,148,92,214
63,84,108,148,93,35
177,96,98,148,93,215
63,84,108,148,93,36
178,96,98,148,93,216
63,83,108,147,94,36
178,97,98,147,94,216
63,83,108,147,94,37
179,97,98,147,94,217
63,83,108,147,95,38
180,97,97,147,95,218
64,83,107,146,95,38
180,97,97,146,95,218
64,83,107,146,96,39
181,97,97,146,96,219
64,83,107,146,96,39
181,97,97,146,96,219
64,82,106,145,97,40
182,98,96,145,97,220
64,82,106,145,97,41
182,98,96,145,97,221
64,82,106,144,98,41
183,98,96,144,98,221
65,82,106,144,98,42
183,98,95,144,98,222
65,82,105,143,99,42
183,98,95,143,99,222
65,82,105,143,99,42
183,98,95,143,99,222
65,82,105,142,100,43
184,98,94,142,100,223
65,82,105,142,100,43
184,98,94,142,100,223
65,82,104,141,101,44
185,98,94,141,101,224
65,81,104,141,102,44
185,99,93,141,102,224
65,82,104,140,102,44
185,98,93,140,102,224
65,81,104,140,103,45
186,99,93,140,103,225
66,81,103,139,103,45
186,99,93,139,103,225
66,81,102,138,104,46
186,99,92,138,104,226
66,81,102,138,105,46
186,99,92,138,105,226
66,81,102,137,105,46
186,99,92,137,105,226
66,81,102,137,106,47
187,99,91,137,106,227
67,81,101,136,106,47
187,99,91,136,106,227
67,81,101,135,107,47
187,99,91,135,107,227
66,81,101,135,108,47
187,99,91,135,108,227
67,81,100,134,108,48
188,99,90,134,108,228
67,81,100,133,109,48
187,99,90,133,109,228
67,81,100,133,109,48
187,99,90,133,109,228
68,81,99,132,110,49
188,99,89,132,110,229
68,81,98,131,111,49
188,99,89,131,111,229
68,81,98,130,111,49
188,99,89,130,111,229
68,81,98,130,112,49
188,99,89,130,112,229
68,81,97,129,113,50
189,99,88,129,113,230
68,81,97,128,113,50
188,99,88,128,113,230
69,81,96,127,114,50
188,99,88,127,114,230
69,81,96,127,114,50
188,99,88,127,114,230
69,81,96,126,115,51
189,99,87,126,115,231
69,82,95,125,116,51
189,98,87,125,116,231
69,82,95,124,116,51
189,98,87,124,116,231
69,82,95,124,117,51
189,98,87,124,117,231
70,82,94,123,118,52
189,98,86,123,118,232
70,82,94,122,118,52
189,98,86,122,118,232
70,82,93,121,119,52
189,98,86,121,119,232
70,82,93,120,120,52
189,98,85,120,120,232
71,82,92,119,120,53
189,98,85,119,120,233
71,82,92,119,121,53
189,98,85,119,121,233
71,82,92,118,121,53
189,98,85,118,121,233
71,82,91,117,122,53
189,98,84,117,122,233
72,82,91,116,123,54
189,98,84,116,123,234
72,83,90,115,123,54
189,97,84,115,123,234
72,83,90,114,124,54
189,97,83,114,124,234
72,83,90,114,125,54
189,97,83,114,125,234
72,83,89,113,125,54
189,97,83,113,125,234
73,83,89,112,126,55
189,97,83,112,126,235
73,83,88,111,126,55
189,97,83,111,126,235
73,83,88,110,127,55
189,97,82,110,127,235
73,83,88,109,128,55
189,97,82,109,128,235
74,84,87,108,128,56
189,96,82,108,128,236
74,84,87,107,129,56
189,96,81,107,129,236
74,84,87,107,129,56
189,96,81,107,129,236
75,84,86,106,130,56
189,96,81,106,130,236
75,84,86,105,131,56
189,96,80,105,131,236
76,84,86,104,131,57
189,96,80,104,131,237
76,84,85,103,132,57
189,96,80,103,132,237
76,85,85,102,132,57
189,95,80,102,132,237
76,85,85,101,133,57
189,95,79,101,133,237
77,85,84,100,134,58
189,95,79,100,134,238
77,85,84,100,134,58
189,95,79,100,134,238
77,85,84,99,135,58
189,95,78,99,135,238
77,85,83,98,135,58
189,95,78,98,135,238
77,85,83,97,136,58
188,95,78,97,136,238
78,86,83,96,136,59
189,94,78,96,136,239
78,86,82,95,137,59
188,94,77,95,137,239
79,86,82,94,137,59
188,94,77,94,137,239
79,86,82,93,138,59
188,94,77,93,138,239
80,87,82,92,138,60
188,93,76,92,138,240
80,86,82,92,139,60
188,94,76,92,139,240
80,87,81,91,139,60
188,93,76,91,139,240
80,87,81,90,140,60
188,93,75,90,140,240
81,87,81,89,140,61
188,93,75,89,140,241
81,87,81,88,141,61
188,93,75,88,141,241
82,88,80,87,141,61
188,92,75,87,141,241
82,88,80,86,142,61
187,92,74,86,142,241
83,88,80,86,142,62
188,92,74,86,142,242
83,88,80,85,143,62
188,92,74,85,143,242
83,88,80,84,143,62
187,92,73,84,143,242
84,89,79,83,144,63
187,91,73,83,144,243
84,89,79,82,144,63
187,91,73,82,144,243
84,89,79,81,144,63
187,91,73,81,144,243
84,89,79,81,145,63
187,91,72,81,145,243
85,89,79,80,145,64
187,91,72,80,145,244
86,90,79,79,146,64
187,90,71,79,146,244
86,90,79,78,146,64
187,90,71,78,146,244
87,90,78,77,146,65
187,90,71,77,146,245
87,90,78,77,147,65
187,90,70,77,147,245
87,91,78,76,147,65
186,89,70,76,147,245
88,91,78,75,148,66
187,89,70,75,148,246
88,91,78,74,148,66
186,89,69,74,148,246
88,91,78,74,148,66
186,89,69,74,148,246
